epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1583.03,0.21415,0.20009,0.17297,0.89,0.87193,0.95,0.92766,0.87738,0.87193,0.95,0.92766,0.87514,0.34473,0.32676,0.53649,1.03631,0.000379743,0.000379743,0.000379743
80,1602.65,0.21158,0.19149,0.16504,0.88423,0.90441,0.94628,0.94507,0.93722,0.90441,0.94628,0.94507,0.92506,0.22044,0.4309,0.41407,0.80997,0.000363239,0.000363239,0.000363239
81,1622.12,0.21057,0.19885,0.16062,0.88905,0.93234,0.95,0.9578,0.94603,0.93234,0.95,0.9578,0.93596,0.23221,0.35399,0.42481,0.85399,0.000346736,0.000346736,0.000346736
82,1641.49,0.19941,0.19047,0.15885,0.88281,0.92515,0.95,0.945,0.9369,0.92515,0.95,0.945,0.92517,0.22921,0.36979,0.4746,0.83477,0.000330233,0.000330233,0.000330233
83,1661.38,0.20436,0.18879,0.15778,0.89154,0.94818,0.95,0.94589,0.9331,0.94818,0.95,0.94589,0.93138,0.2623,0.41474,0.42556,0.9108,0.000313729,0.000313729,0.000313729
84,1680.92,0.20253,0.17749,0.1611,0.88641,0.94708,0.95,0.93826,0.9227,0.94708,0.95,0.93826,0.91916,0.24192,0.39097,0.45574,0.85545,0.000297226,0.000297226,0.000297226
85,1700.39,0.19837,0.18449,0.15633,0.88593,0.94273,0.95,0.93731,0.93201,0.94273,0.95,0.93731,0.92036,0.19818,0.36441,0.38933,0.80225,0.000280723,0.000280723,0.000280723
86,1719.92,0.202,0.18597,0.16242,0.88457,0.90433,0.94546,0.93445,0.93014,0.90433,0.94546,0.93445,0.91705,0.22895,0.357,0.4409,0.82099,0.00026422,0.00026422,0.00026422
87,1739.48,0.19727,0.18244,0.15517,0.88414,0.9,0.95,0.94398,0.93983,0.9,0.95,0.94398,0.92973,0.24234,0.37808,0.40618,0.8469,0.000247716,0.000247716,0.000247716
88,1758.88,0.18793,0.17198,0.14926,0.87877,0.90254,0.95,0.94034,0.92887,0.90254,0.95,0.94034,0.92563,0.24212,0.33828,0.44575,0.84512,0.000231213,0.000231213,0.000231213
